Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.4,14,95.7
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.4,14,91.3
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.6,14,96.0
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.4,7,66.8
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.4,7,69.0
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),20.1,10,88.5
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),26.7,10,81.5
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.2,14,91.5
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),42.9,7,72.6
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.3,14,68.2
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.4,14,97.5
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),26.4,10,79.8
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),41.0,14,76.3
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.1,10,65.3
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),35.1,14,77.5
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.7,7,81.2
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.3,14,98.2
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.7,14,71.1
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.6,7,93.1
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.0,7,68.5
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.7,14,80.6
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.5,14,66.8
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.9,14,89.2
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),28.5,7,78.7
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.0,7,80.3
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),29.4,14,88.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.1,10,70.9
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.8,10,93.1
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.2,7,73.4
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.2,14,90.4
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.8,10,73.8
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),45.1,7,80.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.3,10,71.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.9,7,75.4
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.9,7,69.9
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.3,14,93.9
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.4,10,88.8
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.2,7,90.1
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.2,7,93.2
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.4,14,71.7
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.5,7,91.5
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.1,14,95.4
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.8,14,66.3
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.7,7,89.0
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.6,7,81.8
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.5,14,79.4
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),18.6,7,92.6
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.5,14,96.5
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.0,14,65.6
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.3,7,91.8
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.4,7,70.9
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.4,7,89.2
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,89.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.6,7,81.2
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.9,7,67.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),36.1,7,97.1
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),45.3,7,66.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.8,7,94.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.9,10,79.2
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.6,7,74.1
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.4,10,71.4
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,14,97.8
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.7,7,93.5
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),36.0,7,66.7
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.9,7,88.7
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.3,7,70.7
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.2,7,95.9
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.0,7,94.0
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.3,7,67.5
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.4,14,71.9
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.8,7,71.0
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.2,14,67.2
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.5,10,77.6
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.5,14,71.4
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.0,14,73.5
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.4,7,71.8
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.5,7,88.2
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.2,7,65.7
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.3,7,76.1
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.4,14,73.4
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.5,7,90.3
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.1,14,90.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.3,14,80.4
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.6,14,81.0
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.8,14,77.3
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.2,14,88.8
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.7,14,92.3
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.9,7,91.6
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.1,7,94.5
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.7,14,95.6
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.0,7,89.2
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.8,14,90.2
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.7,7,80.9
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.7,14,65.4
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.1,7,73.2
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.3,14,89.5
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.1,14,92.1
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.5,10,74.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.5,7,94.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.3,10,67.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.1,14,69.2
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),33.8,7,94.2
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.4,14,98.4
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.3,14,97.0
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.0,10,94.2
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.3,10,65.7
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.3,10,70.2
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.2,14,78.3
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.3,14,72.7
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),36.2,7,67.7
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.5,7,71.8
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.1,14,66.2
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.6,10,93.6
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),23.3,7,88.3
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.2,14,70.3
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.3,14,93.0
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.3,14,91.1
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.8,7,79.2
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),32.4,14,81.4
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.3,14,97.3
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),20.8,10,72.3
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),22.2,10,77.6
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.2,7,74.0
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.5,14,68.7
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.3,7,77.2
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.4,10,67.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),23.4,7,88.0
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.0,10,74.4
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.9,14,90.1
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.0,10,68.8
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.1,14,93.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.0,14,69.6
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.8,14,67.9
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.9,14,93.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.5,14,77.1
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.3,7,81.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.3,7,97.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.8,14,89.4
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.6,7,89.5
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),51.3,14,78.3
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),31.0,7,77.7
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.2,10,65.3
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.1,7,91.4
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),22.0,14,95.6
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.8,7,78.5
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.4,7,66.8
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.7,14,93.4
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),17.6,7,91.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.9,14,90.7
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.4,14,89.6
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.2,7,81.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),21.0,10,77.9
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.4,14,81.8
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.5,14,70.8
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.6,10,68.0
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,72.9
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),26.3,10,74.1
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),36.1,7,71.7
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.1,14,76.8
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.3,7,96.5
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.0,14,66.5
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.8,7,88.2
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.7,14,69.3
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.0,7,90.9
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),22.6,10,73.7
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),22.1,10,95.1
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.2,10,72.1
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,76.5
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.5,14,74.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.4,10,75.6
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.2,7,81.8
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.1,14,79.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.4,7,69.3
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.3,7,93.1
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),41.0,14,71.2
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.6,7,77.8
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.0,7,95.5
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.9,14,96.7
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.2,7,93.2
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.2,14,76.2
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.4,10,92.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.0,10,78.8
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.2,7,79.6
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.3,14,71.9
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),26.0,14,97.3
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),26.1,10,73.6
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.9,14,95.1
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.2,7,93.3
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),48.5,14,66.3
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.3,7,67.6
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.1,10,79.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.0,7,78.7
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.6,14,95.6
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.3,7,93.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.1,7,69.5
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),26.4,10,66.5
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),26.1,14,88.6
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.3,14,74.4
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.7,14,92.7
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.8,7,80.9
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.6,7,65.9
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.3,14,78.7
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.1,14,90.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.2,7,88.9
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.0,14,96.9
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.4,10,89.1
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.4,10,77.2
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.7,14,88.5
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.7,10,88.3
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.5,7,74.5
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.9,7,98.1
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.0,14,88.0
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.2,14,67.9
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),41.8,14,81.0
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),32.7,14,67.1
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.6,10,79.8
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.5,14,75.3
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),36.8,7,66.6
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.6,7,72.6
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,65.1
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.9,10,91.3
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.2,14,76.5
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.7,7,79.9
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),28.3,10,90.8
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.1,7,70.6
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),29.8,14,92.8
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),26.7,10,73.7
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.8,10,69.3
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.0,14,67.8
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),26.9,10,77.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.1,7,95.3
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.6,7,74.7
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.6,14,73.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),42.4,14,74.6
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.2,7,95.9
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.9,14,89.5
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.9,10,88.7
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.2,7,68.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.1,14,93.3
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.0,14,75.3
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.5,7,91.4
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.5,7,91.2
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.8,7,88.4
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.8,10,70.5
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.6,7,73.0
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.1,14,79.6
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.6,7,80.3
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.7,14,90.4
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.2,14,71.4
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.3,10,94.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),41.0,14,73.1
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.3,7,96.4
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,7,80.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.1,14,70.7
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.5,7,93.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.5,10,69.4
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.2,7,89.9
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),28.1,10,95.4
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.9,10,88.1
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.3,7,91.8
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.4,7,97.8
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.6,7,89.1
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,98.1
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.6,7,94.1
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.7,7,78.0
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.2,7,65.0
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.5,7,96.3
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.7,7,72.0
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),17.8,7,93.8
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.3,14,96.5
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.1,14,93.8
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.1,7,65.6
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.6,14,74.9
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.7,7,95.2
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.8,7,95.5
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.6,14,97.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.4,10,80.9
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.9,10,70.2
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.3,7,98.8
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.5,7,92.9
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,88.6
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.0,7,74.5
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.6,7,95.2
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.7,7,75.4
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.2,7,95.9
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.6,7,68.9
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.7,7,90.4
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),21.1,10,79.4
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.1,7,97.1
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.1,10,95.9
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.8,10,90.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.8,7,70.7
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.4,14,77.0
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.6,14,93.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.3,7,91.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.1,10,65.6
