Feedstock_Type,Initial_Mass_kg,Initial_Moisture_Pct,Initial_Motor_Load_A,Target_Batch_Time_Min,Target_Final_Mass_kg,Projected_NPK_Profile
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.73,67.33,2.68,143.7,0.84,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.48,75.2,2.56,177.5,0.91,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.61,73.63,3.42,250.7,1.77,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.23,80.52,3.24,251.2,1.21,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.94,76.07,3.05,268.2,1.72,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.02,79.44,1.21,241.0,1.21,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.57,72.2,2.71,177.0,1.06,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.36,76.55,2.58,211.4,1.16,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.64,65.08,2.31,201.7,1.85,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.31,75.18,3.11,135.3,0.5,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.18,79.32,2.04,208.9,0.97,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.84,80.13,2.72,235.5,1.12,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.67,74.11,2.05,147.3,0.65,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.12,78.28,3.18,242.8,1.31,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.34,72.16,2.65,203.4,1.36,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.81,80.67,2.87,274.1,1.36,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.17,82.48,1.59,134.2,0.33,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.06,74.04,2.79,161.1,0.8,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.41,81.59,2.0,221.3,0.93,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.19,82.8,1.59,174.8,0.57,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.86,71.22,2.9,219.8,1.62,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.04,80.01,2.46,242.9,1.19,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.41,79.19,2.71,141.5,0.45,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.06,76.92,1.97,200.7,1.04,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.04,72.64,2.61,193.7,1.22,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.48,75.06,2.2,177.1,0.92,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.73,87.52,1.63,286.7,0.88,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.31,84.32,1.63,262.3,1.0,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.79,79.29,1.5,232.1,1.15,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.86,72.99,2.78,223.0,1.52,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.85,72.47,3.94,186.9,1.15,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.68,74.2,1.91,254.7,1.76,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.78,76.06,3.36,225.8,1.33,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.92,79.1,2.4,236.6,1.2,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.45,77.17,1.76,252.6,1.48,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.1,81.85,2.87,170.2,0.58,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.23,80.85,1.67,252.0,1.19,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.78,73.09,3.44,150.4,0.72,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.38,79.75,1.72,179.0,0.72,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.34,74.45,2.96,171.6,0.89,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.91,79.77,2.88,276.0,1.45,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.43,78.14,3.3,253.9,1.42,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.8,72.79,2.23,220.8,1.51,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.91,80.48,1.99,238.9,1.12,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.25,75.89,2.99,206.2,1.15,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.79,84.85,1.37,282.9,1.07,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.99,74.39,2.13,194.5,1.13,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.52,82.11,1.39,187.3,0.68,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.65,68.2,4.2,142.0,0.78,Organic Soil Conditioner (High Carbon)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.14,87.66,1.47,262.3,0.76,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.94,75.39,1.61,230.4,1.42,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.54,78.8,3.17,183.9,0.8,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.1,73.47,1.9,126.7,0.45,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.36,85.9,1.69,267.5,0.91,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.05,72.45,2.78,124.2,0.45,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.81,75.09,2.3,225.4,1.39,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.88,85.7,1.85,288.7,1.03,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.75,76.0,3.4,188.2,0.98,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.94,69.47,2.73,152.6,0.88,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.82,76.84,3.31,228.8,1.3,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.27,81.08,1.77,254.0,1.19,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.19,87.36,1.86,221.5,0.61,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.87,79.91,1.98,274.6,1.43,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.21,86.05,1.88,137.7,0.27,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.02,74.89,3.41,196.4,1.12,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.87,72.5,1.88,222.7,1.56,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.45,70.91,2.49,239.4,1.88,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.72,72.1,1.82,147.3,0.72,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.2,87.6,1.24,264.5,0.78,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.21,73.43,1.63,201.0,1.25,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.59,83.67,1.95,191.7,0.64,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.53,78.66,3.16,145.5,0.5,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.46,72.13,2.63,242.3,1.81,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.63,72.6,3.25,144.6,0.67,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.24,72.72,2.9,166.0,0.91,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.16,73.03,3.91,163.6,0.87,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.49,76.85,1.88,253.3,1.52,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.69,78.48,1.93,226.9,1.17,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.19,80.72,2.76,250.1,1.19,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.0,66.73,2.95,152.0,0.99,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.5,83.18,1.26,227.6,0.87,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.29,71.9,2.1,201.3,1.35,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.33,86.04,1.85,266.8,0.9,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.62,87.79,1.6,282.7,0.84,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.05,70.0,2.7,123.1,0.48,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.7,73.32,2.64,218.0,1.44,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.21,77.46,1.77,132.8,0.42,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.2,76.18,3.22,204.7,1.12,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.15,76.56,2.25,166.9,0.75,Organic Soil Conditioner (High Carbon)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.23,68.91,2.66,161.5,1.02,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.41,80.75,1.84,181.4,0.7,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.49,85.2,1.28,230.4,0.77,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.34,74.23,2.89,171.1,0.89,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.93,79.89,2.04,238.6,1.16,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.62,84.39,1.39,193.9,0.62,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.27,75.14,4.18,133.8,0.49,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.14,73.27,3.25,233.3,1.61,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.14,83.94,1.3,174.2,0.53,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.73,76.28,1.91,187.9,0.96,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.74,75.0,3.9,222.6,1.37,Organic Soil Conditioner (High Carbon)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.33,69.06,3.27,165.1,1.06,Organic Soil Conditioner (High Carbon)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.23,76.15,4.34,132.7,0.45,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.5,77.14,3.41,180.3,0.85,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.78,70.89,2.27,250.5,2.02,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.57,74.33,2.39,215.1,1.34,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.69,76.72,2.53,223.6,1.26,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.53,74.31,2.8,213.8,1.33,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.8,76.04,2.23,153.4,0.65,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.67,82.92,1.66,194.3,0.69,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.0,74.38,3.11,230.8,1.5,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.41,76.86,2.23,139.7,0.5,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.11,73.07,2.05,161.9,0.85,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.11,87.49,1.44,176.3,0.41,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.73,73.69,2.48,184.4,1.06,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.92,81.07,1.23,279.4,1.36,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.27,75.23,2.63,133.7,0.48,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.07,77.52,2.28,202.3,1.02,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.72,76.47,3.43,150.9,0.61,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.88,69.15,2.11,249.9,2.19,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.45,74.43,2.47,139.8,0.56,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.61,85.6,1.36,195.3,0.57,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.95,72.8,1.83,226.0,1.57,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.82,82.19,1.82,238.5,1.01,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.69,75.39,2.67,185.3,0.98,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.39,74.05,3.01,172.7,0.92,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.59,65.58,2.82,169.4,1.31,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.06,73.98,3.26,160.9,0.8,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.82,68.88,2.67,148.1,0.84,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.93,75.19,3.32,193.7,1.07,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.07,69.27,2.45,156.8,0.94,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.15,70.42,1.9,160.5,0.94,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.63,69.96,4.36,209.7,1.59,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.87,81.76,2.31,279.2,1.3,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.41,75.16,2.45,211.1,1.25,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.31,74.7,2.93,134.8,0.51,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.3,78.59,3.48,137.0,0.43,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.81,80.65,1.74,273.9,1.36,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.19,65.57,1.94,156.8,1.11,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.37,68.04,4.5,132.6,0.66,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.4,73.83,2.74,208.2,1.3,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.49,77.1,2.17,217.2,1.18,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.59,73.51,2.14,214.7,1.39,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.07,81.76,1.81,169.1,0.57,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.06,77.4,1.75,127.3,0.38,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.86,72.18,1.79,256.3,1.97,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.0,76.1,3.37,161.1,0.72,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.7,78.37,3.12,227.2,1.18,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.83,76.66,2.29,228.7,1.31,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.44,73.08,3.26,208.5,1.36,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.25,79.83,1.92,174.2,0.68,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.08,77.12,2.53,165.0,0.72,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.39,74.25,4.37,208.7,1.28,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.46,77.8,2.63,254.6,1.45,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.79,72.5,1.72,254.5,1.91,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.42,79.87,1.23,142.5,0.44,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.62,79.43,2.97,149.6,0.51,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.78,69.36,4.09,247.0,2.13,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.95,66.7,2.16,214.2,1.91,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.53,74.49,2.31,249.9,1.69,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.81,74.55,2.53,152.7,0.69,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.35,69.48,2.98,199.6,1.49,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.8,68.56,2.36,213.1,1.74,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.72,72.53,2.79,217.4,1.49,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.63,78.55,1.87,187.1,0.84,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.06,77.12,2.6,127.2,0.38,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.33,73.62,2.43,205.6,1.29,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.01,73.98,2.21,159.3,0.78,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.8,73.93,2.53,187.3,1.08,Organic Soil Conditioner (High Carbon)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.83,79.16,1.98,271.4,1.47,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.6,78.22,1.84,185.4,0.84,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.36,79.88,2.16,255.0,1.29,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.75,73.36,1.88,149.6,0.7,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.69,78.97,2.82,227.7,1.14,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.91,79.83,3.38,275.9,1.45,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.41,78.92,1.9,141.2,0.46,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.03,67.68,2.81,121.4,0.51,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.73,74.09,1.74,185.1,1.05,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.37,79.03,2.36,139.9,0.44,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.99,77.2,3.63,235.9,1.33,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.66,65.99,2.94,235.4,2.3,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.74,70.59,2.84,180.6,1.18,Organic Soil Conditioner (High Carbon)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.03,72.02,2.13,158.2,0.85,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.74,76.97,1.83,189.0,0.93,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.89,76.01,2.27,229.9,1.37,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.04,73.5,2.76,124.4,0.43,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.36,79.53,1.49,216.1,1.02,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.45,75.73,1.89,213.4,1.23,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.55,73.78,2.65,213.6,1.36,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.97,73.9,2.3,157.7,0.77,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.86,73.06,2.79,223.1,1.52,Balanced Organic (High C / Moderate K)
